и,and
племенной,tribal; thoroughbred
плоть (f),flesh
пляска,dance
поблизости,nearby; hereabouts
поборник (+g),"champion, keen supporter (of)"
побуждение,"motive, stimulus"
повадка ,"habit, (habitual) behaviour (coll)"
повозка,"cart, carriage"
подача,giving; serve (tennis)
подбрасывать/подбросить (+a),"to throw, toss (up); jolt; add"
подвигать/подвинуть (+a),to move
пользование (+inst),use (of sth)
поначалу ,at first (coll)
подножие/подножье,foot (of mountain etc.); pedestal
подоконник,window-sill
подслушивать/подслушать (+a),to eavesdrop (on s.o.); (p) overhear
подъёмный,lifting (adj)
жевать/по- (+a),to chew
жечь/по- (+a),to burn up
позорно,"disgracefully, shamefully"
полосатый,striped
полыхать (i),to blaze
помалкивать (i) ,to keep quiet (coll)
помещичий,landowner’s (adj)
помост,"platform, rostrum; scaffold"
понижать/понизить (+a),to lower; reduce
обещать/по- (+a +d),to promise (sth to s.o)
пополнение,replenishment; reinforcement(s)
попутчик,fellow-traveller
поровну,equally
порожний ,empty (coll)
ругаться/по-,to swear; (c +inst) (coll) have a row with
послезавтра,the day after tomorrow
постный,"lenten, meatless; without meat or milk; (coll) lean (of meat); (coll) gloomy, glum; (coll) sanctimonious"
постукивать (i),"to knock, tap, patter"
потомство,"posterity, descendants"
потреблять/потребить (+a),to consume
пребывать (i),to be (swh)
превосходно,splendidly
предписание,"order, instruction"
предприниматель (m),"entrepreneur, businessman"
преобладать (i),to predominate
преступный,criminal (adj)
приветливый,"affable, friendly"
пригородный,suburban
придвигаться/придвинуться (к +d),"to come near, move up"
придерживать/придержать (+a),"to hold back, check"
приёмная,waiting-room
признанный,"acknowledged, recognized"
примечательно,(it is) noteworthy
примирение,reconciliation
припадок,"fit, attack"
припасы (m pl),"stores, supplies; provisions"
присягать/присягнуть (в +pr +d),to swear an oath (of sth to s.o.)
пробел,"blank, gap"
пробивать/пробить (+a),to pierce
провокатор,agent provocateur; provoker
греметь/про-,"to thunder, resound"
прогуливаться/прогуляться,to take a walk
демонстрировать/про- (+a),"to demonstrate, show"
прозывать/прозвать (+a +inst),to nickname (s.o. sth)
промах,miss; blunder
промежуточный,intermediate
пронзительно,piercingly; stridently
пропагандировать (i) (+a),"to propagandize, promote"
пропорциональный,proportional
просыпать/проспать,to oversleep
простираться/простереться,"to extend, stretch"
просторно,(it is) spacious
простужаться/простудиться,to catch a cold
протирать/протереть (+a),to rub; rub through
протягиваться/протянуться,to stretch out; extend
прохвост ,scoundrel (coll)
прохождение,"passing, passage"
процветать (i),to flourish
прояснение,"clarification, clearing up; clear period (weather)"
прутик,"twig, switch; small rod"
пчела,bee
пшено,millet
пьянка ,"binge, booze-up (coll)"
пята,heel
разбегаться/разбежаться,to scatter; take a run-up
разведывательный,reconnaissance (adj); intelligence (adj)
развешивать/развесить (+a),to hang up (a number of things); weigh out
раздробленный,"shattered, splintered, disunited"
разливаться/разлиться,to spill; overflow
различаться (i) (+inst),to differ
размещение,"placing, allocation, accommodation"
разнородный,heterogeneous
разгонять/разогнать (+a),to disperse
разорять/разорить (+a),to ruin
разочарованный,"disappointed, disillusioned"
разыгрываться/разыграться,"to romp; warm up, get into one’s stride; (storm etc.) break, rage"
расизм,racism
раскусывать/раскусить (+a),to bite through; (p only) (coll) suss out; get to the heart of sth
распоряжаться/распорядиться,"to give orders; (+inst) deal with, manage, be in charge of"
расстилаться/разостлаться,to spread out
расстройство,disorder
рассыпать (i/p) (+a),"to spill, scatter"
растительность (f),vegetation
реалистический,realistic
ребячий,child’s; childish
ревнивый,jealous
ремесленник,craftsman; hack
решето,sieve
рогожа,matting
рожок,small horn; horn (instrument)
романс,romance (song)
рыночный,market (adj)
салют,salute; firework display (in honour of s.o. or sth)
